,事件名（英文）,事件名（中文）,上报逻辑,属性名（英文）,属性名（中文）,属性值类型,属性名的对应值及说明,备注,进版版本号,无痕模式是否上报,备注,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态
false：push、推荐页插卡",仅沉浸态内该事件上报,,,,,,,,,
,content_item_click,信息流_单条内容_点击,"多次点击多次上报，无去重逻辑
在列表页点击内容进入详情页，上报点击事件(click_type=general)；
针对小视频和短视频播放的规则：
短视频列表页，点击视频在列表页播放，上报点击事件（click_type=play)；
小视频播放，播放时长>5s时，上报点击事件（click_type=play_auto）
短视频沉浸式，播放时长>5s时，上报点击事件（click_type=play_auto)；",​common key,公共属性,,,三个点击事件，和曝光事件同理,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,click_type,点击类型,string,"general：普通点击（在列表页点击进入详情页）
play：视频播放（在短视频列表页播放的点击、小视频播放页播放>5s上报的点击等）",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_click_noenter,信息流_单条内容_点击_未进入态,"未进入态情况下，信息流单条内容点击时上报；
点击逻辑与原点击逻辑一致",​common key,公共属性,,,,14.8.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,在神策上区分用户首日/首次访问,,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,click_type,"点击类型
（逻辑和以前的一致）",string,"general：普通点击（在列表页点击进入详情页）
play：视频播放（在短视频列表页播放的点击、小视频播放页播放>5s上报的点击）",,,,,,,,,,
,,,,from_gid ,文章id ,string,用户点击相关阅读进入下个详情页时上报，列表页点击不上报,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,15.4,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_click_enter,信息流_单条内容_点击_进入态,"进入态情况下，信息流单条内容点击时上报；
点击逻辑与原点击逻辑一致",​common key,公共属性,,,,14.8.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,在神策上区分用户首日/首次访问,,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,click_type,"点击类型
（逻辑和以前的一致）",string,"general：普通点击（在列表页点击进入详情页，包括短视频沉浸式点击进入详情页）
play：视频播放（在短视频列表页播放的点击）
play_auto：小视频播放>5s上报的点击、短视频沉浸式播放>5s上报的点击","以前的逻辑：
general：普通点击（在列表页点击进入详情页）
play：视频播放（在短视频列表页播放的点击、小视频播放页播放>5s上报的点击等）",15.6修改场景,,,,,,,,
,,,,from_gid ,文章id ,string,用户点击相关阅读进入下个详情页时上报，列表页点击不上报,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,15.4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_view,信息流_详情页_浏览,"1、上报时机
A、用户进入详情页/联播页即打点
B、多次进入多次打点

2、上报范围：通过任意方式打开了信息流的详情页（图文详情页、短视频详情页、小视频详情页）
A、点击列表页的内容进入详情页
B、点击push内容直接进入详情页
C、小视频连播页切换到下一个
D、打开app即是详情页的情况：点击桌面icon进入、从其他app返回、其他app调起、拉回通知栏、从多任务进入、屏幕解锁、点击桌面书签进入、从app内其他页面进入或返回
E、不包括短视频沉浸式页面
",common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,item_detail_enter_way,详情页进入方式,string,"from_push ：Push进入
from_third_partner：第三方app调起进入
from_homepage：首页进入
from_feed_list ：列表页点击进入
from_shortvideo_deep_list ：短视频沉浸式点击进入
from_minivideo_detail_next ：小视频连播页滑动进入
from_pic_content_detail：图文详情页推荐流进入
from_shortvideo_content_detail：短视频详情页推荐流进入
from_shortvideo_double_detail：详情页底部小视频双列流进入
from_default：默认窗口打开",,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,在神策上区分用户首日/首次访问,14.8,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,gray_comment_mode,是否评论置灰,boolean,"true:：是
false ：否",,,,,,,,,,
,,,,gray_share_mode,是否分享置灰,boolean,"true:：是
false ：否",,,,,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态（push、推荐页插卡）
false",仅沉浸态内该事件上报,,,,,,,,,
,content_item_view_quit,信息流_详情页_退出,"以任何方式离开该详情页页面：
1、退出app：回到桌面、返回到其他app、调起其他app、拉出通知栏、切到多任务、息屏、锁屏
2、去往浏览器其他页面（包括列表页、其他内容的详情页）",common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,duration,总浏览时长,number,"从进入详情页到离开详情页的时长
单位：毫秒
查询时需限定：时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,from_gid ,相关阅读来源文章id ,string,用户点击相关阅读进入下个详情页时上报，列表页点击不上报,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,15.4,,,,,,,,
,,,,percent,文章阅读进度,string,【屏幕展现文章长度/以文章总长度计算*100】取整，仅限图文详情页上报，只是图文正文，不考虑相关推荐,,15.4,,,,,,,,
,,,,point_show,,,video_duration_0：时长为0的上报,,,,@董良廷 ,,,,,,
,,,,point_page,,,video_detail：短视频详情页---用来过滤play_duration小于100毫秒的case,,,,,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态（push、推荐页插卡）
false",仅沉浸态内该事件上报,,,,,,,,,
,content_item_negative_click,信息流_负反馈_点击,用户点击X关闭按钮，选择negative界面中任一理由成功关闭内容时上报,common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,negative_type ,反馈类型,string,"rubbish：垃圾内容
repeat：推荐重复
shield：屏蔽
blacklist：拉黑
dislike：不感兴趣
frequent：出现过于频繁
bad：内容质量差
report：举报",,,,,,,,,,
,,,,negative_info,反馈明细,string,"提交的具体的内容：
屏蔽的具体tag
拉黑的作者
垃圾内容的关键词（重复、标题党）等",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_function_click,信息流_详情页更多功能_点击,"仅图文详情页上报；
点击图文详情页右上方三个点，出现工具弹窗，点击里面的工具时上报",common key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,function,功能类型,string,"mode：夜间模式
nophoto：智能无图
close_nophoto：关闭智能无图
collect:收藏
uncollect:取消收藏
refresh:刷新",,,,,,,,,,
,"content_item_like
content_item_unlike
content_item_share
content_item_comment 
content_item_collect
content_item_uncollect","信息流_单条内容_点赞
信息流_单条内容_取消点赞
信息流_单条内容_分享
信息流_单条内容_评论
信息流_单条内容_收藏
信息流_单条内容_取消收藏","信息流_单条内容_点赞:点赞成功时上报；不去重 （包括图文详情页；短视频详情页；小视频详情页/连播页；短视频列表页右下角点击弹窗出现的点赞按钮；短视频沉浸式右下角点赞按钮、右下角点击弹窗出现的点赞按钮）
信息流_单条内容_取消点赞:取消点赞成功时；不去重 （包括图文详情页；短视频详情页；小视频详情页/连播页；短视频列表页右下角点击弹窗出现的点赞按钮；短视频沉浸式右下角点赞按钮、右下角点击弹窗出现的点赞按钮）
信息流_单条内容_分享:点击具体分享按钮时；不去重 （包括图文详情页；短视频详情页上下两个分享；短视频列表页右下角点击弹窗出现的更多按钮里；短视频沉浸式右下角点击弹窗出现的更多按钮里）
信息流_单条内容_评论:评论请求成功时上报；不去重（包括图文、短视频、小视频详情页）
信息流_单条内容_收藏:收藏成功时上报；不去重 （包括图文详情页；短视频列表页右下角点击弹窗出现的更多按钮里；短视频沉浸式右下角点击弹窗出现的更多按钮里）
信息流_单条内容_取消收藏:取消收藏成功时上报；不去重 （包括图文详情页；短视频列表页右下角点击弹窗出现的更多按钮里；短视频沉浸式右下角点击弹窗出现的更多按钮里）",common key,公共属性,,,,14.6,是,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
单条内容_视频类特殊操作,content_item_video_play,信息流_单条内容_视频播放,"视频开始播放时上报
1、视频露出后第一次播放（本次操作第一次，不是生命周期内第一次）时，上报该事件。播放过程中，只要未离开该视频，暂停后恢复、前后拖动进度条，不重新上报事件。
2、短视频列表页、短视频详情页视频播放进度100%后视频停止，若手动点击重播，需重新上报事件。短视频手动重播play、over上报逻辑 
3、小视频播放期间只要不离开此视频，暂停、恢复、自动重播，均不重新上报事件。
4、同一个视频，一旦离开该视频，再次进入该视频产生的播放需重新上报事件。
5、离开该视频的场景，参见content_item_video_over事件上报场景。",common key,"公共属性
",,,,14.6,是,,"上报时机（旧，存档）：
1、短视频或小视频露出后第一次播放（本次操作第一次，不是生命周期内第一次）时，上报该事件
2、只要未离开该视频，暂停后恢复、拖动进度条重新播放、播完后重播均进入本次播放，不重新上报事件
3、一旦离开该视频（离开页面/离开屏幕/离开app/播放当页其他视频），再次进入产生的第一次播放均重新上报事件，包括续播
4、短视频手动重播play、over上报逻辑 ",,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,item_video_autoplay,视频是否自动播放,boolean,"true ： 是
false：否",沉浸式,,,,,,,,,
,,,,item_video_switch_way,视频切换方式,string,"非切换导致的播放值为空：
手动上滑切换 
自动切换
","只有沉浸式和小视频有
不涉及视频切换的为空",,,,,,,,,
,,,,item_video_length,视频长度（视频本身的时长）,number,单位：秒,,,,,,,,,,
,,,,root_gid ,沉浸态首个文章id,string,沉浸式及小视频内流从第二个播放内容开始之后每个内容都需要记录此值，值为第一个内容的id,,15.4,,,,,,,,
,,,,from_gid ,文章id ,string,（只有详情页相关阅读需要上报）文章详情页的文章id，只有文章详情页和视频详情页传此值 ,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,,,,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态（push、推荐页插卡）
false",仅沉浸态内该事件上报,,,,,,,,,
,content_item_video_over,信息流_单条内容_视频结束播放,"离开本次播放的视频时上报，包含以下离开场景：
1、离开app：包括退后台、杀进程、切到多任务、息屏、锁屏、跳转到其他app。
2、离开该页面：切换到其他内容页面、广告详情页、我的页面、多窗口页面等；切换到其他频道、信息流未进入态；列表页进入详情页、详情页返回到列表页等。
3、短视频详情页播放：短视频手动重播play、over上报逻辑 
  ①播放过程中（进度未达到100%），回到列表页、进入其他内容详情页、进入广告详情页、离开app时，上报该事件。
  ②播放进度100%时，上报该事件。
4、短视频列表页播放：短视频手动重播play、over上报逻辑 
  ①播放过程中（进度未达到100%），滑动让此视频离开屏幕、播放上一个/下一个短视频、刷新、切换频道、进入详情页、切换到未进入态、离开app时，上报该事件
  ②播放进度100%时，上报该事件。
5、短视频沉浸式页播放：
  ①播放过程中，滑动让此视频离开屏幕、播放上一个/下一个短视频、刷新、进入详情页、返回到列表页，离开app时，上报该事件。
  ②播放进度100%，自动播放下一个视频时，上报此条视频的该事件。
6、小视频：滑动播放上一个/下一个小视频、返回到列表页、离开app时，上报该事件。",common key,"公共属性
",,,,14.6,是,,"上报时机：
离开本次播放的视频时上报
1、离开app：包括回到桌面、杀进程、切到多任务、息屏、锁屏、去到app内其他页面、跳转到其他app
2、视频详情页播放：回到列表页，或点击详情页相关推荐进入下一个页面
3、信息流列表页播放：滑动视频离开屏幕、播放下一个、刷新
4、短视频沉浸式页播放：滑动视频离开屏幕、播放下一个、刷新
5、小视频连播页：播放下一个、回到列表页
5、短视频手动重播play、over上报逻辑 ",,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,item_video_autoplay,视频是否自动播放,boolean,"true ： 是
false：否",,,,,,,,,,
,,,,item_video_switch_way,视频切换方式,string,"非切换导致的播放值为空：
手动上滑切换 
自动切换
","只有沉浸式和小视频有
不涉及视频切换的为空",,,,,,,,,
,,,,item_video_length,视频长度（视频本身的时长）,number,单位：秒,,,,,,,,,,
,,,,play_duration,播放时长,number,"单位：毫秒
load和暂停时间不计入、拖动进度条也不计入，记录真实播放时长
查询时需限定：时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,play_number,播放次数,number,"若播放时长<=视频时长，则播放次数为1
若播放时长>视频时长，则播放次数为播放时长/视频时长取整+1
例：
若视频时长为10s
若播放时长为9s，则播放次数为1
若播放时长为35s，则播放次数为4",,,,,,,,,,
,,,,item_percent,视频播放进度,number,"退出后记录percent，百分比例如  0/1/50/100，保留整数，多次播放记最大值
进度条播放长度 / 视频本身长度",,,,,,,,,,
,,,,root_gid ,沉浸态首个文章id,string,沉浸式及小视频内流从第二个播放内容开始之后每个内容都需要记录此值，值为第一个内容的id,,15.4,,,,,,,,
,,,,point_show,,,"video_duration_0：时长为0
fail：小视频播放失败",,,,,,,,,,
,,,,point_page,,,video_detail：短视频详情页---用来过滤play_duration小于100毫秒的case,,,,,,,,,,
,,,,from_gid ,文章id ,string,（只有详情页相关阅读需要上报）文章详情页的文章id，只有文章详情页和视频详情页传此值 ,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,,,,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态（push、推荐页插卡）
false",仅沉浸态内该事件上报,,,,,,,,,
,content_item_video_play_minivideo,信息流_单条内容_视频播放_小视频,"进入态情况下，小视频内容播放时上报；
视频播放逻辑与原有逻辑一致",common key,"公共属性
",,,,14.8.6,是,仅用来统计神策中新用户的小视频体裁。不用于模型推荐,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,item_video_autoplay,视频是否自动播放,boolean,"true ： 是
false：否",,,,,,,,,,
,,,,item_video_switch_way,视频切换方式,string,"非切换导致的播放值为空：
手动上滑切换 
自动切换
","只有沉浸式和小视频有
不涉及视频切换的为空",,,,,,,,,
,,,,item_video_length,视频长度（视频本身的时长）,number,单位：秒,,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,root_gid ,沉浸态首个文章id,string,沉浸式及小视频内流从第二个播放内容开始之后每个内容都需要记录此值，值为第一个内容的id,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_video_failed,信息流_单条内容_视频播放失败,"视频点击播放后，未成功加载时上报
",common key,"公共属性
",,,,16.9,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,item_video_autoplay,视频是否自动播放,boolean,"true ： 是
false：否",,,,,,,,,,
,,,,item_video_switch_way,视频切换方式,string,"非切换导致的播放值为空：
手动上滑切换 
自动切换
",,,,,,,,,,
,,,,item_video_length,视频长度（视频本身的时长）,number,单位：秒,,,,,,,,,,
,,,,fail_reason,视频播放失败报错信息,string,视频解码失败、无法连接等报错信息,,,,,,,,,,
,,,,codec_type,视频格式,string,h265，h264等,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_video_pause,信息流_视频_暂停,"仅视频内容上报（短视频&小视频）
点击暂停时上报",common key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_video_continue,信息流_视频_恢复,"仅视频内容上报（短视频&小视频）
暂停状态下，点击恢复播放时上报",common key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_video_replay,信息流_视频_重播,"仅视频内容上报（短视频&小视频）
重新播放时上报",common key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
时长（同一事件，分三种时长类型）,content_duration ,信息流时长,"以任何方式离开频道列表页上报
离开频道场景：离开频道页场景 ",​common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,duration_type ,时长类型,string,feed_channel,,,,,,,,,,
,,,,duration,时长,number,"从进入频道页到离开频道页的时长
单位：毫秒
查询时需限定：
时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,impid,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_duration ,信息流时长,"以任何方式离开信息流详情页（包括进入一个新的详情页时）：
1、信息流详情页范围包括图文详情页、短视频详情页、小视频详情页/连播页
2、包括回到桌面、返回到其他app、调起其他app、拉出通知栏、切到多任务、息屏、锁屏、去到app内除详情页外其他页面",​common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,duration_type ,时长类型,string,detail_page,建议使用14.7版本及以后的时长,,,,,,,,,
,,,,duration,时长,number,"从进入详情页到离开详情页的时长
单位：毫秒
查询时需限定：
时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_duration,信息流时长,"以任意方式离开短视频沉浸式时上报，记录从第一条内容到离开沉浸式的时长；
离开沉浸式的方式包括：
1.  返回到列表页
2. 进入详情页
3. 进入广告
4. 退出app：回到桌面、返回到其他app、调起其他app、拉出通知栏、切到多任务、息屏、锁屏、去到app内除详情页外其他页面",​common key,公共属性,,,,15.6,,,,,,,,
,,,,content key,信息流所有流的属性,,,,,,,,,,,,
,,,,duration_type ,时长类型,string,immersion,,,,,,,,,,
,,,,duration,时长,number,"进入沉浸式到离开沉浸式的时长
单位：毫秒
查询时需限定：
时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_duration ,信息流时长,跟随content_item_video_over打点时机,​common key,公共属性,,,,14.3,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,duration_type ,时长类型,string,video_play,,,,,,,,,,
,,,,duration,时长,number,"视频开始播放到结束播放的时长（load和暂停时间不计入、拖动进度条也不计入，记录真实播放时长）
单位：毫秒
查询时需限定：
时长>0&时长<86400000(单位毫秒)
以排除异常值",,,,,,,,,,
,,,,root_cp_name,沉浸态首个内容的内容提供方标识,string,"cn-toutiao   
cn-yidian-news-v2    
cn-renminwang    
cn-baidu-feeds    
cn-yidian-video    
cn-sina-browser    
cn-fenghuang-browser    
cn-baidu ","1.沉浸态第一条内容自带item_cp_name，同时上报root_cp_name为null。
2.沉浸态第二条及之后的视频内容自带参数item_cp_name，同时上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。
3.沉浸态内广告上报root_cp_name，参数值同沉浸态第一条内容的item_cp_name。",,,,,,,,,
,,,,is_click_content_enter,是否点击内容进入沉浸态,boolean,"true：点击内容进入沉浸态
false：push、推荐页插卡",仅沉浸态内该事件上报,,,,,,,,,
列表页,content_feed_refresh,信息流_刷新,发生刷新行为并返回内容时上报,commey_key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,refresh_type,刷新方式,string,"pulling_down：下拉刷新信息流
click_tab_home：点击主页tab
click_tab_video：点击视频tab
auto_refresh：自动刷新
back：返回刷新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
列表页,content_feed_refresh_action,信息流_刷新_行为,发生刷新行为时上报,commey_key,公共属性,,,,16.7,,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,refresh_type,刷新方式,string,"pulling_down：下拉刷新信息流
click_tab_home:点击主页tab
auto_refresh:自动刷新
back:返回刷新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
列表页,content_feed_refresh_request,信息流_刷新_发起请求,向服务端发起刷新请求时上报,commey_key,公共属性,,,,16.7,,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,refresh_type,刷新方式,string,"pulling_down：下拉刷新信息流
click_tab_home:点击主页tab
auto_refresh:自动刷新
back:返回刷新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
列表页,content_feed_refresh_failed,信息流_刷新_失败,从服务端返回刷新失败时上报,commey_key,公共属性,,,,,,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,refresh_type,刷新方式,string,"pulling_down：下拉刷新信息流
click_tab_home:点击主页tab
auto_refresh:自动刷新
back:返回刷新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_feed_more,信息流_加载更多,下滑信息流列表，“正在加载”露出时上报,commey_key,公共属性,,,,14.6,是,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_enter,信息流_进入信息流进入态,"信息流状态切换事件
信息流未进入态进入进入态时上报",common key,公共属性,,,,15.4,,,,,,,,
,,,,content_key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
